Country Code,Campaign,Impressions,Clicks,Installs,Spend,Customers,Revenue
CM,Review-variations,2,0,0,0.0,0.0,0.0
CM,Trust,5,0,0,0.0,0.0,0.0
CN,BrandProtection,38,4,4,0.8,0.0,0.0
CN,Competitors,54,6,2,17.5,1.0,45.0
CN,DE-Generic,86,0,0,0.0,0.0,0.0
CN,ES-Generic,42,0,0,0.0,0.0,0.0
CN,Features,120,4,3,16.0,0.0,0.0
CN,ProductReview,262,37,28,87.3,1.0,30.0
CN,Review-variations,30,0,0,0.0,0.0,0.0
CN,Trust,32,0,0,0.0,0.0,0.0
CO,BR-PT-Generic,842,20,8,95.0,0.0,0.0
CO,BrandProtection,194,5,5,1.0,0.0,0.0
CO,Competitors,1213,20,14,53.0,0.0,0.0
CO,DE-Generic,147,2,1,5.58,0.0,0.0
CO,ES-Generic,1393,223,168,848.18,0.0,0.0
CO,Features,369,27,19,139.0,0.0,0.0
CO,IT-Generic,1,0,0,0.0,0.0,0.0
CO,ProductReview,412,83,63,208.2,1.0,15.0
CO,Review-variations,257,14,10,40.96,0.0,0.0
CO,Trust,131,6,6,29.0,0.0,0.0
CR,BR-PT-Generic,96,1,0,5.0,0.0,0.0
CR,BrandProtection,5,0,0,0.0,0.0,0.0
CR,Competitors,21,0,0,0.0,0.0,0.0
CR,DE-Generic,10,0,0,0.0,0.0,0.0
CR,ES-Generic,43,5,3,19.52,0.0,0.0
CR,Features,22,0,0,0.0,0.0,0.0
CR,ProductReview,19,4,3,10.5,0.0,0.0
CR,Review-variations,12,0,0,0.0,0.0,0.0
CR,Trust,15,0,0,0.0,0.0,0.0
CV,BR-PT-Generic,2,0,0,0.0,0.0,0.0
CV,ES-Generic,0,0,0,0.0,0.0,0.0
CW,DE-Generic,2,0,0,0.0,0.0,0.0
CW,ES-Generic,0,0,0,0.0,0.0,0.0
CW,Features,3,0,0,0.0,0.0,0.0
CW,ProductReview,4,1,1,1.5,0.0,0.0
CW,Review-variations,0,0,0,0.0,0.0,0.0
CW,Trust,0,0,0,0.0,0.0,0.0
CY,BrandProtection,13,0,0,0.0,0.0,0.0
CY,Competitors,23,1,1,2.5,0.0,0.0
CY,DE-Generic,28,0,0,0.0,0.0,0.0
CY,ES-Generic,6,0,0,0.0,0.0,0.0
CY,Features,25,1,1,3.2,0.0,0.0
CY,ProductReview,34,8,7,17.6,0.0,0.0
CY,Review-variations,14,0,0,0.0,0.0,0.0
CY,Trust,28,0,0,0.0,0.0,0.0
CZ,BR-PT-Generic,1,0,0,0.0,0.0,0.0
CZ,BrandProtection,35,2,2,0.4,0.0,0.0
CZ,Competitors,65,1,1,2.5,0.0,0.0
CZ,DE-Generic,61,0,0,0.0,0.0,0.0
CZ,ES-Generic,24,0,0,0.0,0.0,0.0
CZ,Features,62,3,1,15.5,0.0,0.0
CZ,ProductReview,130,15,10,39.5,0.0,0.0
CZ,Review-variations,45,3,1,12.0,0.0,0.0
CZ,Trust,23,0,0,0.0,0.0,0.0
DE,BR-PT-Generic,43,0,0,0.0,0.0,0.0
DE,BrandProtection,453,16,9,3.2,1.0,15.23
DE,Competitors,847,46,26,126.5,2.0,45.68
DE,DE-Generic,2448,274,151,750.69,6.0,166.79
DE,ES-Generic,364,4,2,13.06,0.0,0.0
DE,Features,762,22,6,104.3,0.0,0.0
DE,ProductReview,1567,209,147,551.5,6.0,121.78
DE,Review-variations,592,45,22,135.2,0.0,0.0
DE,Trust,165,8,3,39.0,0.0,0.0
DJ,BR-PT-Generic,7,0,0,0.0,0.0,0.0
DJ,BrandProtection,1,0,0,0.0,0.0,0.0
DJ,DE-Generic,0,0,0,0.0,0.0,0.0
DJ,ES-Generic,0,0,0,0.0,0.0,0.0
DJ,Features,1,0,0,0.0,0.0,0.0
DK,BR-PT-Generic,2,0,0,0.0,0.0,0.0
DK,BrandProtection,24,0,0,0.0,0.0,0.0
DK,Competitors,209,15,5,41.0,0.0,0.0
DK,DE-Generic,76,1,0,4.0,0.0,0.0
DK,ES-Generic,52,0,0,0.0,0.0,0.0
DK,Features,86,8,6,38.0,0.0,0.0
DK,IT-Generic,2,0,0,0.0,0.0,0.0
DK,ProductReview,177,26,21,70.2,1.0,30.0
DK,Review-variations,72,5,3,16.0,0.0,0.0
DK,Trust,18,3,2,14.0,0.0,0.0
DM,DE-Generic,0,0,0,0.0,0.0,0.0
DM,ES-Generic,2,0,0,0.0,0.0,0.0
DO,BR-PT-Generic,113,2,0,10.0,0.0,0.0
DO,BrandProtection,10,0,0,0.0,0.0,0.0
DO,Competitors,31,4,3,10.5,0.0,0.0
DO,DE-Generic,18,0,0,0.0,0.0,0.0
DO,ES-Generic,70,7,5,26.02,0.0,0.0
DO,Features,35,1,1,5.0,0.0,0.0
DO,IT-Generic,1,0,0,0.0,0.0,0.0
DO,ProductReview,29,8,6,22.5,0.0,0.0
DO,Review-variations,19,1,1,3.0,0.0,0.0
DO,Trust,14,0,0,0.0,0.0,0.0
DZ,BR-PT-Generic,46,2,0,10.0,0.0,0.0
DZ,BrandProtection,6,1,1,0.2,0.0,0.0
DZ,Competitors,13,2,2,6.0,0.0,0.0
DZ,DE-Generic,38,1,0,4.0,0.0,0.0
DZ,ES-Generic,45,0,0,0.0,0.0,0.0
DZ,Features,34,4,4,20.0,0.0,0.0
DZ,ProductReview,70,19,18,39.2,0.0,0.0
DZ,Review-variations,36,2,1,7.0,0.0,0.0
DZ,Trust,17,2,2,8.0,0.0,0.0
EC,BR-PT-Generic,93,0,0,0.0,0.0,0.0
EC,BrandProtection,22,1,0,0.2,0.0,0.0
EC,Competitors,343,2,1,5.5,0.0,0.0
EC,DE-Generic,23,0,0,0.0,0.0,0.0
EC,ES-Generic,143,23,18,90.56,1.0,15.0
EC,Features,87,3,2,13.0,0.0,0.0
EC,IT-Generic,1,0,0,0.0,0.0,0.0
EC,ProductReview,85,9,7,25.3,0.0,0.0
EC,Review-variations,40,1,0,2.5,0.0,0.0
EC,Trust,9,0,0,0.0,0.0,0.0
EE,BrandProtection,21,0,0,0.0,0.0,0.0
EE,Competitors,27,2,1,5.5,0.0,0.0
EE,DE-Generic,9,0,0,0.0,0.0,0.0
EE,ES-Generic,7,0,0,0.0,0.0,0.0
EE,Features,82,1,0,5.0,0.0,0.0
EE,ProductReview,128,27,24,59.7,0.0,0.0
EE,Review-variations,17,2,1,9.5,0.0,0.0
EE,Trust,8,1,1,7.0,0.0,0.0
EG,BR-PT-Generic,3,0,0,0.0,0.0,0.0
EG,BrandProtection,120,8,3,1.7000000000000002,0.0,0.0
EG,Competitors,128,8,6,24.5,0.0,0.0
EG,DE-Generic,148,0,0,0.0,0.0,0.0
EG,ES-Generic,65,0,0,0.0,0.0,0.0
EG,Features,196,19,9,91.9,0.0,0.0
EG,ProductReview,359,89,69,207.0,1.0,15.0
EG,Review-variations,206,16,12,67.82,0.0,0.0
EG,Trust,57,2,2,9.0,0.0,0.0
ES,BR-PT-Generic,542,17,5,78.0,0.0,0.0
ES,BrandProtection,263,15,12,3.0,2.0,30.44
ES,Competitors,886,28,20,81.0,1.0,15.22
ES,DE-Generic,229,5,1,12.780000000000001,0.0,0.0
ES,ES-Generic,1813,249,186,956.9,2.0,60.91
ES,Features,691,56,46,273.6,1.0,15.23
ES,IT-Generic,4,1,1,2.0,0.0,0.0
ES,ProductReview,1056,169,131,445.5,1.0,30.46
ES,Review-variations,392,22,14,67.28,0.0,0.0
ES,Trust,104,5,4,25.0,0.0,0.0
ET,BrandProtection,1,0,0,0.0,0.0,0.0
ET,DE-Generic,1,0,0,0.0,0.0,0.0
ET,ES-Generic,0,0,0,0.0,0.0,0.0
ET,Features,6,1,1,5.0,0.0,0.0
ET,ProductReview,3,0,0,0.0,0.0,0.0
ET,Review-variations,2,1,1,2.5,0.0,0.0
FI,BR-PT-Generic,1,0,0,0.0,0.0,0.0
FI,BrandProtection,29,0,0,0.0,0.0,0.0
FI,Competitors,41,1,0,2.5,0.0,0.0
FI,DE-Generic,28,0,0,0.0,0.0,0.0
FI,ES-Generic,16,0,0,0.0,0.0,0.0
FI,Features,30,5,4,23.0,0.0,0.0
FI,ProductReview,156,18,12,48.3,2.0,60.9
FI,Review-variations,51,2,1,8.0,0.0,0.0
FI,Trust,8,1,1,7.0,0.0,0.0
FJ,Competitors,8,0,0,0.0,0.0,0.0
FJ,DE-Generic,0,0,0,0.0,0.0,0.0
FJ,ES-Generic,0,0,0,0.0,0.0,0.0
FJ,Features,0,0,0,0.0,0.0,0.0
FJ,ProductReview,1,0,0,0.0,0.0,0.0
FJ,Review-variations,1,0,0,0.0,0.0,0.0
FK,Review-variations,0,0,0,0.0,0.0,0.0
FO,DE-Generic,0,0,0,0.0,0.0,0.0
FO,ES-Generic,0,0,0,0.0,0.0,0.0
FO,Features,1,0,0,0.0,0.0,0.0
FO,ProductReview,2,0,0,0.0,0.0,0.0
FO,Review-variations,1,0,0,0.0,0.0,0.0
FR,BR-PT-Generic,692,12,5,60.0,0.0,0.0
FR,BrandProtection,648,27,15,5.6,0.0,0.0
FR,Competitors,1432,76,54,204.0,4.0,76.13
FR,DE-Generic,181,2,2,4.79,0.0,0.0
FR,ES-Generic,663,16,9,46.54,0.0,0.0
FR,FR-Generic,3219,521,375,1728.61,12.0,304.49
FR,Features,860,71,55,352.0,0.0,0.0
FR,IT-Generic,9,0,0,0.0,0.0,0.0
FR,ProductReview,1326,197,145,532.9,6.0,152.02
FR,Review-variations,525,25,16,67.78,0.0,0.0
FR,Trust,110,6,4,34.0,0.0,0.0
GA,BR-PT-Generic,12,0,0,0.0,0.0,0.0
GA,Competitors,1,0,0,0.0,0.0,0.0
GA,DE-Generic,1,0,0,0.0,0.0,0.0
GA,ES-Generic,4,0,0,0.0,0.0,0.0
GA,Features,0,0,0,0.0,0.0,0.0
GA,ProductReview,1,0,0,0.0,0.0,0.0
GA,Review-variations,0,0,0,0.0,0.0,0.0
GB,BR-PT-Generic,20,0,0,0.0,0.0,0.0
GB,BrandProtection,588,30,20,6.0,2.0,75.44
GB,Competitors,1387,48,26,138.5,1.0,30.46
GB,DE-Generic,320,5,3,14.370000000000001,0.0,0.0
GB,ES-Generic,325,3,2,9.54,0.0,0.0
GB,Features,1181,79,58,364.5,1.0,30.45
GB,IT-Generic,1,0,0,0.0,0.0,0.0
GB,ProductReview,3260,542,393,1429.9,15.0,380.6
GB,Review-variations,771,53,33,187.1,0.0,0.0
GB,Trust,220,12,8,57.0,0.0,0.0
GD,DE-Generic,0,0,0,0.0,0.0,0.0
GD,ES-Generic,0,0,0,0.0,0.0,0.0
GD,ProductReview,1,0,0,0.0,0.0,0.0
GD,Review-variations,3,0,0,0.0,0.0,0.0
GE,BrandProtection,2,0,0,0.0,0.0,0.0
GE,Competitors,9,0,0,0.0,0.0,0.0
GE,DE-Generic,4,0,0,0.0,0.0,0.0
GE,ES-Generic,6,0,0,0.0,0.0,0.0
GE,Features,16,2,1,10.0,0.0,0.0
GE,ProductReview,26,7,4,22.0,0.0,0.0
GE,Review-variations,5,0,0,0.0,0.0,0.0
GE,Trust,0,0,0,0.0,0.0,0.0
GF,BR-PT-Generic,13,0,0,0.0,0.0,0.0
GF,BrandProtection,1,1,1,0.2,0.0,0.0
GF,Competitors,2,0,0,0.0,0.0,0.0
GF,DE-Generic,1,0,0,0.0,0.0,0.0
GF,ES-Generic,6,0,0,0.0,0.0,0.0
GF,Features,0,0,0,0.0,0.0,0.0
GF,Review-variations,0,0,0,0.0,0.0,0.0
GG,Competitors,1,0,0,0.0,0.0,0.0
GG,DE-Generic,5,0,0,0.0,0.0,0.0
GG,Features,0,0,0,0.0,0.0,0.0
GG,Review-variations,1,1,1,2.5,0.0,0.0
GH,BrandProtection,6,0,0,0.0,0.0,0.0
GH,Competitors,6,0,0,0.0,0.0,0.0
GH,DE-Generic,9,0,0,0.0,0.0,0.0
